ID	pop	age	sex	mass	b.l	b.w	b.d	w.l	t.max	t.min	t.w	ts.l	h.l
B67136.Tumbes.Amotape	Amotape	u	m	11.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
B67166.Tumbes.Amotape	Amotape	u	m	11.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
B67201.Tumbes.Amotape	Amotape	a	f	13.7	NA	NA	NA	NA	NA	NA	NA	NA	NA
B67257.Tumbes.Amotape	Amotape	u	m	13	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSU97655.Piura.Canchaque	Canchaque	a	m	14.5	9.99	2.85	3.78	molt	69.93	36.74	11.61	20	15.59
LSU78309.Piura.Canchaque	Canchaque	a	f	15	9.24	3.13	3.49	61.86	63.85	32.84	9.66	19.14	15.92
LSU78313.Piura.Canchaque	Canchaque	a	f	17	9.72	2.95	3.73	63.44	65.77	34.58	10.07	18.93	14.99
LSU78311.Piura.Canchaque	Canchaque	a	f	14	9.01	3.97	3.51	63.1	69.87	34.94	damaged	18.14	15.31
LSU78308.Piura.Canchaque	Canchaque	a	f	15	9.24	3.04	3.69	59.57	63.44	35.99	10.22	20.06	15.44
LSU97656.Piura.Canchaque	Canchaque	a	f	19	10.04	3.01	3.89	64.4	63.14	36.24	damaged	20.48	15.74
B72873.Piura.Canchaque	Canchaque	a	f	16.3	9.32	2.75	3.57	61.6	69.32	36.84	10.24	19.05	15.89
B72878.Piura.Canchaque	Canchaque	a	m	15.4	9.24	2.16	3.49	64.64	70.57	37.19	10.21	20.61	14.75
B72877.Piura.Canchaque	Canchaque	a	m	19	9.77	2.72	3.54	64.77	71	37.2	12.53	20.35	15.52
LSU78310.Piura.Canchaque	Canchaque	a	m	15	9.1	2.76	3.48	65.38	70.49	37.36	damaged	18.65	damaged
B72876.Piura.Canchaque	Canchaque	a	m	17.4	10.22	2.88	3.64	67.43	75.02	40.27	10.89	19.39	14.79
B72875.Piura.Canchaque	Canchaque	a	m	16.7	10.07	3.15	3.56	66.8	70.12	40.3	11.85	20.17	16.23
LSU78312.Piura.Canchaque	Canchaque	a	m	17	9.73	2.56	3.87	65.75	71.47	40.53	11.95	19.89	15.46
B72874.Piura.Canchaque	Canchaque	a	f	16.8	damaged	2.59	3.66	68.03	72.98	42.27	10.22	19.79	14.93
LSU80510.Piura.Canchaque	Canchaque	j	f	18	NA	NA	NA	NA	NA	NA	NA	NA	NA
LSU80511.Piura.Canchaque	Canchaque	j	f	17.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FMNH_391890	Carhuaz	NA	m	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NK_171689	Carhuaz	a	m	27.66	NA	NA	NA	NA	NA	NA	NA	NA	NA
NK_171703	Carhuaz	j	f	21.62	NA	NA	NA	NA	NA	NA	NA	NA	NA
NK_171708	Carhuaz	a	f	24.29	NA	NA	NA	NA	NA	NA	NA	NA	NA
NK_171709	Carhuaz	a	f	23.61	NA	NA	NA	NA	NA	NA	NA	NA	NA
B72794.Huanuco.CarpaChavin	CarpaChavin	j	f	25.3	12.78	2.97	4.5	73.15	77.66	41.55	13.16	22.94	18.72
B72805.Huanuco.CarpaChavin	CarpaChavin	j	f	19.2	10.99	3.16	4.16	70.65	76.57	43.64	10.53	21.85	18.3
B72804.Huanuco.CarpaChavin	CarpaChavin	a	f	25.1	12.07	3	4.6	74.18	74.75	44.39	12.46	22.4	17.94
B72798.Huanuco.CarpaChavin	CarpaChavin	a	f	25.1	11.47	3.27	4.23	76.04	80.77	44.59	13.44	23.67	17.67
B72797.Huanuco.CarpaChavin	CarpaChavin	a	m	24.2	11.24	3.38	4.23	75.25	85.81	44.73	11.53	22.6	17.19
LSU113559.Huanuco.CarpaChavin	CarpaChavin	a	f	27	10.65	3.23	4.27	77.74	90.24	45.22	10.25	23.07	15.83
B72799.Huanuco.CarpaChavin	CarpaChavin	a	f	28.1	10.58	2.97	4.32	molt	88.03	45.58	11.68	22.28	17.61
B72802.Huanuco.CarpaChavin	CarpaChavin	a	m	28.7	12.44	2.97	4.62	molt	82.19	47.17	13.5	22.79	19.78
