ID	h.theta.crow	h.phi.crow	r.achieved.crow	bril.crow	h.theta.back	h.phi.back	r.achieved.back	bril.back	h.theta.rump	h.phi.rump	r.achieved.rump	bril.rump	h.theta.tail	h.phi.tail	r.achieved.tail	bril.tail	h.theta.bell	h.phi.bell	r.achieved.bell	bril.bell	h.theta.brea	h.phi.brea	r.achieved.brea	bril.brea	h.theta.thro	h.phi.thro	r.achieved.thro	bril.thro	h.theta.wing	h.phi.wing	r.achieved.wing	bril.wing	h.theta.cheek	h.phi.cheek	r.achieved.cheek	bril.cheek
B72832.LaLibertad.ElMolino	-0.0155611310444495	-0.903696401692947	0.853233855837544	0.0658888214370816	0.262883800348656	-1.13543922285022	0.816158377749867	0.0560931214261106	0.257059147437049	-1.12347617787957	0.794369709203707	0.0711867951632577	-0.0740332402133636	-0.900095347099446	0.81327427260394	0.0957309335325034	0.281167059270394	-1.13296773434596	0.813266249130985	0.0886691920275203	0.31070550595999	-1.23923443051571	0.782622928508139	0.153263866162933	0.243122680944317	-1.21279175627318	0.79873540475552	0.244497085623938	-0.0743680332628178	-0.861166568685032	0.845624590514557	0.0663708740072913	0.226457154636488	-1.18714188703097	0.782213626376088	0.0929637986268578
B72833.LaLibertad.ElMolino	-0.142650657737956	-0.736872396209432	0.87861292013655	0.0723443702655804	0.270673392330919	-1.10132005250901	0.819066539929378	0.0516063779583234	0.297009735374999	-1.13544403297733	0.795162860478142	0.063173813916915	-0.0898522662261815	-0.909921062906739	0.813714834839304	0.0842753849543099	0.273810697282394	-1.12900898054373	0.811442718641941	0.101204333899094	0.352764599354211	-1.26754998969825	0.758871036042726	0.175024972377801	0.276828787046045	-1.19318042697763	0.819326926405793	0.214448457124903	-0.127608032524204	-0.812677153189878	0.849931636042569	0.0674863993116485	0.24971375536889	-1.19904043316642	0.787407016895874	0.097276130829627
B72834.LaLibertad.ElMolino	-0.112059099204494	-0.732097938304089	0.904024006921874	0.0850379069156251	0.258890672947459	-1.17694339276011	0.797323768889225	0.0570765385933463	0.242739870232751	-1.10017827897594	0.816547684525865	0.0632564969044098	-0.107678658441256	-0.852542612522406	0.831060358524183	0.0985614516933511	0.299614763571223	-1.15528863420316	0.810785239579384	0.0934881534094174	0.320604766354523	-1.21124985073206	0.788193904707641	0.175599707169609	0.426228629406714	-1.33100913622189	0.761032020076269	0.351220633403759	-0.147501001418206	-0.747583230688453	0.877078994547927	0.0720726830242572	0.153289593594844	-1.10407055866631	0.798332265340724	0.119916859331447
B72835.LaLibertad.ElMolino	-0.172589306141043	-0.691526580196209	0.911882596138948	0.0581633648686165	0.174921007590984	-1.09947393790458	0.813698830988186	0.0516967296933646	0.166856872279672	-1.04995643180766	0.820511416689058	0.0541675422531648	-0.146865391088083	-0.807323397244355	0.833356052169735	0.0674126746133646	0.188049745229503	-1.09696653124154	0.821446556477157	0.0886332304837154	0.2243645947726	-1.19652425733139	0.774714944775201	0.167529058759869	0.234374651879856	-1.23350460771772	0.788109969518097	0.210135339864344	-0.1773470080311	-0.713386617096195	0.881275351024292	0.0657420433770693	0.151138182973931	-1.12359438585688	0.802890106910921	0.12440430703054
B72836.LaLibertad.ElMolino	-0.147813700441032	-0.742617281714963	0.883833306198844	0.0658284273772007	0.186308245988075	-1.1132278305966	0.810858006823475	0.0623198250778045	0.165634103383464	-1.06347424576073	0.811894149142797	0.0743744222819586	-0.1476010112693	-0.7943999505839	0.84513061092227	0.0526074105414934	0.200671136722029	-1.14392766211934	0.799015881579455	0.072172140104106	0.237337411045714	-1.19904878976722	0.776868145882481	0.13097508062713	0.217093011019507	-1.14474742072213	0.85303406996846	0.260880827209604	-0.174652960863824	-0.744376858105944	0.871893968580884	0.045984562864256	0.0672203614591136	-1.01479636335977	0.816227901803903	0.085275991504304
B72837.Cajamarca.Contumaza	-0.139237972282034	-0.732195650994447	0.906275998909885	0.073802107165375	0.238129270748588	-1.0844184249623	0.829839617672106	0.0545910034204608	0.432599904321452	-1.30694750849975	0.740518461082958	0.107740559538596	-0.151399264045096	-0.718593602060126	0.931478847311746	0.0465105322381956	0.335067792868889	-1.19980480016023	0.797139999009216	0.100111617025218	0.352156955065022	-1.2325925646599	0.787658403635863	0.159990167823582	0.437280251137189	-1.30832288288576	0.779678480346883	0.153836490139051	-0.0458638988373168	-0.905931258026871	0.838189893491292	0.063480588816619	0.198805442665356	-1.1346071754089	0.813805384744791	0.104895221766167
B72840.Cajamarca.Contumaza	-0.138206602154523	-0.767411818822422	0.880949293990216	0.0780567986568347	0.263084676482412	-1.15168228137465	0.823495459970982	0.0701955912421651	0.262703359863981	-1.11847035894915	0.815647158202679	0.0769459490637401	-0.131351556111525	-0.812904882081521	0.872561559060381	0.0553423713465683	0.229960085614286	-1.06237405863888	0.864429570457462	0.0792329632958102	0.224084824300819	-1.07476628975903	0.872314713454482	0.154428626202794	0.334901810501126	-1.24431750814464	0.806546935229819	0.199153363050707	-0.139498155919283	-0.76979073646884	0.890921905846461	0.0566191515198906	0.272393105925544	-1.148325093855	0.809201450252728	0.140349313620211
B72841.Cajamarca.Contumaza	-0.190858167156329	-0.71274675086357	0.902065957501116	0.0597170164415278	0.256937513476341	-1.11055735916731	0.835314183341579	0.0593030564770263	0.273203953625037	-1.09260932606001	0.832368371271119	0.071011375190683	-0.10587386769703	-0.857286924105818	0.845031933644732	0.0796161905021743	0.347789827525122	-1.26254440782833	0.761147694903744	0.0713090847203229	0.303070089689	-1.17263201493025	0.813761186408101	0.167600088987475	0.311939368612813	-1.255401789919	0.789245026540389	0.233844864811975	-0.0618333674517514	-0.829109444711151	0.883474227635055	0.0501771159980642	0.265422505980213	-1.17734182467422	0.802269185887881	0.140399743562221
B72842.Cajamarca.Celendin	-0.159556839718791	-0.686697721348991	0.932413522775278	0.0549757798204462	0.207728691611999	-1.17707996692729	0.777121115038102	0.0852760219948979	0.228786341439193	-1.13901689942947	0.792088845367928	0.0777388577344927	-0.128770375700247	-0.829658238828686	0.838811838578728	0.0712729735879415	0.177893491330872	-1.04742488070571	0.839355076954806	0.090584237179434	0.193561298036941	-1.10863033277282	0.825360776446061	0.15503680457167	0.207709680026563	-1.21259437887533	0.789292033208643	0.303187028307536	-0.147967623865866	-0.725464522096175	0.90189352618344	0.0597592865931675	0.205071114468494	-1.11700682577693	0.812720331282619	0.111638501608115
B72843.Cajamarca.Celendin	-0.180712740025064	-0.689078427363447	0.913300781209065	0.060475952237382	0.16830924564984	-1.08199656672673	0.840773485327246	0.0479321861907255	0.152154757422584	-1.00012317432402	0.865921333146943	0.048845211303247	-0.135543053099335	-0.823435348950365	0.8414105343085	0.0696068177870415	0.160267165089313	-1.02508251199135	0.863225199180725	0.070246137032016	0.241315810135012	-1.2007020749979	0.786905609327725	0.123658345135463	0.22132126524715	-1.22692736256878	0.783869906116052	0.233003281937998	-0.155332226459559	-0.747072955861314	0.893274267941558	0.0441201913847225	0.159588492826993	-1.14359011371741	0.795861624122347	0.0506758580849598
